Model,Camera,Class,Confidence,Inference Time (ms)
Result 1,Cam 2,Crowd,0.6916143298149109,115.11057199822972
Result 1,Cam 2,Patient,0.7133880853652954,115.11057199822972
Result 1,Cam 4,Crowd,0.8488631248474121,9.485537997534266
Result 1,Cam 4,Crowd,0.5085824728012085,9.485537997534266
Result 1,Cam 4,Robot,0.9772412776947021,9.485537997534266
Result 2,Cam 2,Crowd,0.5905352830886841,16.141427000547992
Result 2,Cam 2,Patient,0.8853622674942017,16.141427000547992
Result 2,Cam 2,Responder,0.5731696486473083,16.141427000547992
Result 2,Cam 2,Robot,0.9082496166229248,16.141427000547992
Result 2,Cam 4,AED,0.8317791819572449,9.346699000161607
Result 2,Cam 4,Crowd,0.8535831570625305,9.346699000161607
Result 2,Cam 4,Crowd,0.81407630443573,9.346699000161607
Result 2,Cam 4,Patient,0.729482114315033,9.346699000161607
Result 2,Cam 4,Responder,0.8614535331726074,9.346699000161607
Result 2,Cam 4,Robot,0.8633344173431396,9.346699000161607
Result 3,Cam 2,Patient,0.8727514743804932,15.967529998306418
Result 3,Cam 2,Robot,0.6376177668571472,15.967529998306418
Result 3,Cam 4,AED,0.6191267967224121,9.301862999564037
Result 3,Cam 4,Crowd,0.8108645677566528,9.301862999564037
Result 3,Cam 4,Crowd,0.6746002435684204,9.301862999564037
Result 3,Cam 4,Patient,0.8826563358306885,9.301862999564037
Result 3,Cam 4,Responder,0.6455396413803101,9.301862999564037
Result 3,Cam 4,Robot,0.8445340394973755,9.301862999564037
Result 4,Cam 2,Crowd,0.6705172657966614,9.63562200195156
Result 4,Cam 2,Crowd,0.6599718332290649,9.63562200195156
Result 4,Cam 2,Crowd,0.6338479518890381,9.63562200195156
Result 4,Cam 2,Crowd,0.5721898674964905,9.63562200195156
Result 4,Cam 2,Patient,0.9586014151573181,9.63562200195156
Result 4,Cam 2,Responder,0.8232738375663757,9.63562200195156
Result 4,Cam 2,Robot,0.6486718058586121,9.63562200195156
Result 4,Cam 2,Robot,0.5026090145111084,9.63562200195156
Result 4,Cam 4,AED,0.8713023662567139,7.2958210002980195
Result 4,Cam 4,Crowd,0.6152212619781494,7.2958210002980195
Result 4,Cam 4,Patient,0.7565692663192749,7.2958210002980195
Result 4,Cam 4,Responder,0.5529308319091797,7.2958210002980195
Result 4,Cam 4,Robot,0.9534907937049866,7.2958210002980195
Result 5,Cam 2,Crowd,0.6483041048049927,32.262954002362676
Result 5,Cam 2,Patient,0.7297906875610352,32.262954002362676
Result 5,Cam 2,Robot,0.8197082877159119,32.262954002362676
Result 5,Cam 2,Robot,0.7410863041877747,32.262954002362676
Result 5,Cam 4,AED,0.7320526838302612,5.274625000311062
Result 5,Cam 4,Crowd,0.8204375505447388,5.274625000311062
Result 5,Cam 4,Crowd,0.7615849375724792,5.274625000311062
Result 5,Cam 4,Patient,0.857530951499939,5.274625000311062
Result 5,Cam 4,Responder,0.6990907192230225,5.274625000311062
Result 5,Cam 4,Robot,0.935735821723938,5.274625000311062
Result 6,Cam 2,Crowd,0.5673641562461853,90.3019809993566
Result 6,Cam 2,Crowd,0.5357014536857605,90.3019809993566
Result 6,Cam 2,Patient,0.8529499769210815,90.3019809993566
Result 6,Cam 2,Responder,0.6604230999946594,90.3019809993566
Result 6,Cam 2,Robot,0.8960219025611877,90.3019809993566
Result 6,Cam 2,Robot,0.5666181445121765,90.3019809993566
Result 6,Cam 4,AED,0.8060054183006287,7.569098997919355
Result 6,Cam 4,Crowd,0.9353629350662231,7.569098997919355
Result 6,Cam 4,Crowd,0.7997493147850037,7.569098997919355
Result 6,Cam 4,Patient,0.8830573558807373,7.569098997919355
Result 6,Cam 4,Responder,0.9484378099441528,7.569098997919355
Result 6,Cam 4,Robot,0.932346522808075,7.569098997919355
Result 7,Cam 2,Patient,0.8236623406410217,8.2335429979139
Result 7,Cam 2,Responder,0.6418201923370361,8.2335429979139
Result 7,Cam 4,AED,0.9463064074516296,6.9823160010855645
Result 7,Cam 4,Crowd,0.8442178964614868,6.9823160010855645
Result 7,Cam 4,Crowd,0.8260498642921448,6.9823160010855645
Result 7,Cam 4,Patient,0.7423381805419922,6.9823160010855645
Result 7,Cam 4,Responder,0.8964536190032959,6.9823160010855645
Result 7,Cam 4,Robot,0.9584575295448303,6.9823160010855645
Result 8,Cam 2,Crowd,0.5409570336341858,18.114996997610433
Result 8,Cam 2,Crowd,0.5248013734817505,18.114996997610433
Result 8,Cam 2,Patient,0.7208458185195923,18.114996997610433
Result 8,Cam 2,Responder,0.784833550453186,18.114996997610433
Result 8,Cam 4,AED,0.8833380341529846,13.554400997236371
Result 8,Cam 4,Crowd,0.9178662300109863,13.554400997236371
Result 8,Cam 4,Crowd,0.8130804300308228,13.554400997236371
Result 8,Cam 4,Patient,0.9135175943374634,13.554400997236371
Result 8,Cam 4,Responder,0.8804281949996948,13.554400997236371
Result 8,Cam 4,Robot,0.9664329290390015,13.554400997236371
