Model,Camera,Class,Confidence,Inference Time (ms)
Result 1,Cam 2,Crowd,0.5387763977050781,115.85206699965056
Result 1,Cam 2,Crowd,0.5334560871124268,115.85206699965056
Result 1,Cam 2,Crowd,0.5307198762893677,115.85206699965056
Result 1,Cam 2,Crowd,0.48490655422210693,115.85206699965056
Result 1,Cam 2,Crowd,0.4357866048812866,115.85206699965056
Result 1,Cam 2,Crowd,0.4318314790725708,115.85206699965056
Result 1,Cam 2,Crowd,0.4268755316734314,115.85206699965056
Result 1,Cam 2,Crowd,0.42535948753356934,115.85206699965056
Result 1,Cam 2,Crowd,0.4032944142818451,115.85206699965056
Result 1,Cam 2,Crowd,0.3928786516189575,115.85206699965056
Result 1,Cam 2,Crowd,0.336900919675827,115.85206699965056
Result 1,Cam 2,Crowd,0.30337151885032654,115.85206699965056
Result 1,Cam 2,Crowd,0.2679477632045746,115.85206699965056
Result 1,Cam 2,Patient,0.6696931719779968,115.85206699965056
Result 1,Cam 4,AED,0.3629440367221832,8.637366001494229
Result 1,Cam 4,Crowd,0.6126663684844971,8.637366001494229
Result 1,Cam 4,Crowd,0.5379970669746399,8.637366001494229
Result 1,Cam 4,Crowd,0.30948606133461,8.637366001494229
Result 1,Cam 4,Crowd,0.29625046253204346,8.637366001494229
Result 1,Cam 4,Patient,0.8930043578147888,8.637366001494229
Result 1,Cam 4,Robot,0.948824405670166,8.637366001494229
Result 2,Cam 2,Crowd,0.6919858455657959,14.317973000288475
Result 2,Cam 2,Crowd,0.6183717846870422,14.317973000288475
Result 2,Cam 2,Crowd,0.5594117641448975,14.317973000288475
Result 2,Cam 2,Crowd,0.3616331219673157,14.317973000288475
Result 2,Cam 2,Crowd,0.35118305683135986,14.317973000288475
Result 2,Cam 2,Crowd,0.3331575393676758,14.317973000288475
Result 2,Cam 2,Crowd,0.33126717805862427,14.317973000288475
Result 2,Cam 2,Crowd,0.28223395347595215,14.317973000288475
Result 2,Cam 2,Patient,0.8924075961112976,14.317973000288475
Result 2,Cam 2,Responder,0.7651255130767822,14.317973000288475
Result 2,Cam 2,Robot,0.9603381156921387,14.317973000288475
Result 2,Cam 2,Robot,0.5200316905975342,14.317973000288475
Result 2,Cam 4,AED,0.9729198217391968,7.058174000121653
Result 2,Cam 4,Crowd,0.9243675470352173,7.058174000121653
Result 2,Cam 4,Crowd,0.8000856041908264,7.058174000121653
Result 2,Cam 4,Crowd,0.6676731109619141,7.058174000121653
Result 2,Cam 4,Crowd,0.3874019384384155,7.058174000121653
Result 2,Cam 4,Crowd,0.3550346791744232,7.058174000121653
Result 2,Cam 4,Patient,0.9611380100250244,7.058174000121653
Result 2,Cam 4,Robot,0.9233447909355164,7.058174000121653
Result 3,Cam 2,Crowd,0.45822039246559143,13.953416000731522
Result 3,Cam 2,Crowd,0.421620637178421,13.953416000731522
Result 3,Cam 2,Crowd,0.39731231331825256,13.953416000731522
Result 3,Cam 2,Crowd,0.3484595715999603,13.953416000731522
Result 3,Cam 2,Crowd,0.347170889377594,13.953416000731522
Result 3,Cam 2,Patient,0.7160483598709106,13.953416000731522
Result 3,Cam 2,Responder,0.5360020399093628,13.953416000731522
Result 3,Cam 2,Robot,0.9742220640182495,13.953416000731522
Result 3,Cam 2,Robot,0.851682722568512,13.953416000731522
Result 3,Cam 4,AED,0.951299786567688,7.480488999135559
Result 3,Cam 4,Crowd,0.8456708192825317,7.480488999135559
Result 3,Cam 4,Crowd,0.7878342866897583,7.480488999135559
Result 3,Cam 4,Crowd,0.4308614134788513,7.480488999135559
Result 3,Cam 4,Crowd,0.3019852638244629,7.480488999135559
Result 3,Cam 4,Crowd,0.2739620506763458,7.480488999135559
Result 3,Cam 4,Patient,0.728492796421051,7.480488999135559
Result 3,Cam 4,Robot,0.9347956776618958,7.480488999135559
Result 4,Cam 2,Crowd,0.7487531304359436,14.221525998436846
Result 4,Cam 2,Crowd,0.7068811655044556,14.221525998436846
Result 4,Cam 2,Crowd,0.5867739915847778,14.221525998436846
Result 4,Cam 2,Crowd,0.5205268263816833,14.221525998436846
Result 4,Cam 2,Crowd,0.3663061261177063,14.221525998436846
Result 4,Cam 2,Crowd,0.3562580943107605,14.221525998436846
Result 4,Cam 2,Crowd,0.30898502469062805,14.221525998436846
Result 4,Cam 2,Crowd,0.28337547183036804,14.221525998436846
Result 4,Cam 2,Patient,0.9443743228912354,14.221525998436846
Result 4,Cam 2,Responder,0.8451430797576904,14.221525998436846
Result 4,Cam 2,Robot,0.8675826191902161,14.221525998436846
