epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.57889,1.93966,4.41059,1.35748,0.00228,0.15675,0.00624,0.00383,1.42526,4.19187,1.11045,4.444e-05,4.444e-05,4.444e-05
2,4.15129,1.77222,4.2589,1.31478,0.00339,0.18925,0.03578,0.02757,1.37828,4.0797,1.01917,9.9495e-05,9.9495e-05,9.9495e-05
3,5.75294,1.65082,3.7176,1.10766,0.00482,0.31062,0.16124,0.12237,1.28562,3.95659,0.98585,0.000154,0.000154,0.000154
4,7.32333,1.55706,2.73139,1.03708,0.00763,0.47833,0.20428,0.15312,1.23376,3.81562,0.98145,0.000207955,0.000207955,0.000207955
5,8.87018,1.45586,2.17247,0.97075,0.00903,0.54231,0.4125,0.27793,1.17509,3.73235,0.9699,0.000261361,0.000261361,0.000261361
6,10.4364,1.34532,1.77072,0.95496,0.00867,0.54432,0.42587,0.28689,1.1507,3.58811,0.96891,0.000314216,0.000314216,0.000314216
7,12.0034,1.2726,1.66264,0.96956,0.00831,0.54746,0.3692,0.25645,1.10834,3.58985,0.96865,0.000366521,0.000366521,0.000366521
8,13.5256,1.28953,1.67709,1.01371,0.00679,0.53198,0.26107,0.18081,1.084,3.59027,0.98129,0.000418277,0.000418277,0.000418277
9,15.0322,1.24765,1.5229,0.99127,0.00728,0.57708,0.34135,0.2356,1.05255,3.54759,0.96702,0.000469482,0.000469482,0.000469482
10,16.5753,1.27279,1.40993,0.99355,0.01037,0.47435,0.22442,0.14143,1.14417,3.55277,1.0086,0.000520137,0.000520137,0.000520137
11,18.0985,1.24951,1.43869,0.99979,0.01204,0.59073,0.31972,0.22937,1.10758,3.44622,1.00691,0.000570243,0.000570243,0.000570243
12,19.6483,1.21888,1.29681,0.94915,0.8762,0.10333,0.45216,0.33664,1.08972,3.24139,0.97328,0.000619799,0.000619799,0.000619799
13,21.1946,1.17237,1.29228,0.95864,0.96872,0.0622,0.4826,0.37153,1.03246,3.07348,0.96983,0.000668804,0.000668804,0.000668804
14,22.7611,1.19552,1.27555,0.98362,0.8428,0.1273,0.55199,0.39781,1.07841,2.92129,0.96518,0.00071726,0.00071726,0.00071726
15,24.3073,1.0956,1.29257,0.95777,0.87203,0.06837,0.50457,0.37452,1.12738,2.95492,0.97069,0.000765166,0.000765166,0.000765166
16,25.8193,1.09033,1.21277,0.95441,0.67716,0.13612,0.51979,0.36969,1.09162,2.70233,0.96652,0.000812522,0.000812522,0.000812522
17,27.3579,1.12405,1.17643,0.93921,0.71032,0.23738,0.57929,0.41664,1.13012,2.57935,0.98537,0.000859327,0.000859327,0.000859327
18,28.9067,1.11322,1.17826,0.95904,0.82405,0.30774,0.66555,0.47399,1.1216,2.42382,0.98374,0.000905583,0.000905583,0.000905583
19,30.441,1.09427,1.18205,0.97633,0.78586,0.46964,0.67644,0.48835,1.13973,2.18976,0.99838,0.000951289,0.000951289,0.000951289
20,31.9841,1.11521,1.17289,0.95431,0.66951,0.49635,0.58728,0.42821,1.08992,2.12803,0.98711,0.000996445,0.000996445,0.000996445
21,33.515,1.14783,1.18902,0.96436,0.65022,0.56614,0.66643,0.49419,1.04595,1.82764,0.98254,0.00100101,0.00100101,0.00100101
22,35.0615,1.04674,1.1066,0.94549,0.74469,0.60801,0.70158,0.51331,1.05893,1.64156,1.01087,0.000995512,0.000995512,0.000995512
23,36.5757,1.10304,1.15551,0.95895,0.71657,0.63414,0.70781,0.5022,1.15442,1.47525,1.04081,0.000990012,0.000990012,0.000990012
24,38.1211,1.08549,1.09144,0.92092,0.65008,0.63411,0.7094,0.51853,1.11685,1.5736,1.01204,0.000984513,0.000984513,0.000984513
25,39.6758,1.08528,1.12433,0.96819,0.76858,0.67024,0.75111,0.56333,1.08241,1.3484,1.0039,0.000979013,0.000979013,0.000979013
26,41.2185,1.03269,1.0999,0.95723,0.65723,0.75803,0.70204,0.51006,1.1321,1.49022,1.02209,0.000973514,0.000973514,0.000973514
